airport	terminal	date	hour	us_avg_wait	us_max_wait	non_us_avg_wait	non_us_max_wait	all_avg_wait	all_max_wait	all_n_0..15	all_n_16..30	all_n_31..45	all_n_46..60	all_n_61..90	all_n_91..120	all_n_120..	all_excluded	all_total	all_flights	all_booths
ATL	Concourse F	11/26/2018	1400 - 1500	23	66	42	86	33	86	271	286	284	146	179	0	0	33	1199	4	19
ATL	Concourse F	11/26/2018	1500 - 1600	21	45	29	45	25	45	39	105	69	0	0	0	0	3	216	1	13
ATL	Concourse F	11/26/2018	1700 - 1800	12	30	23	53	15	53	229	170	24	12	0	0	0	10	445	2	12
ATL	Concourse F	11/26/2018	1800 - 1900	25	123	77	136	44	136	190	185	236	54	60	139	26	28	918	4	14
ATL	Concourse F	11/26/2018	1900 - 2000	29	41	37	39	30	41	17	37	85	0	0	0	0	3	142	1	8
ATL	Concourse F	11/26/2018	2000 - 2100	34	67	47	65	37	67	138	61	195	293	35	0	0	23	745	4	16
ATL	Concourse E	11/27/2018	1300 - 1400	5	24	10	31	8	31	446	94	1	0	0	0	0	16	557	3	26
ATL	Concourse E	11/27/2018	1400 - 1500	3	12	3	12	3	12	341	0	0	0	0	0	0	7	348	2	16
ATL	Concourse E	11/27/2018	1500 - 1600	6	17	5	17	6	17	426	12	0	0	0	0	0	13	451	2	20
ATL	Concourse E	11/27/2018	1600 - 1700	12	49	13	49	12	49	763	184	143	10	0	0	0	32	1132	8	23
ATL	Concourse E	11/27/2018	1700 - 1800	13	36	12	32	13	36	458	235	26	0	0	0	0	16	735	5	19
ATL	Concourse E	11/27/2018	1800 - 1900	14	71	19	72	16	72	543	226	96	22	21	0	0	26	934	7	19
ATL	Concourse E	11/27/2018	1900 - 2000	19	45	18	55	19	55	418	465	250	6	0	0	0	32	1171	7	20
ATL	Concourse F	11/27/2018	0500 - 0600	21	63	46	103	34	103	246	165	147	95	129	19	0	24	825	4	9
ATL	Concourse F	11/27/2018	0700 - 0800	19	41	27	41	22	41	55	59	66	0	0	0	0	3	183	1	9
ATL	Concourse F	11/27/2018	0800 - 0900	16	43	22	43	18	43	204	149	107	0	0	0	0	9	469	2	6
ATL	Concourse F	11/27/2018	0900 - 1000	27	72	32	71	30	72	105	72	76	55	32	0	0	11	351	1	7
ATL	Concourse F	11/27/2018	1000 - 1100	31	60	45	60	36	60	50	65	48	130	0	0	0	7	300	3	11
ATL	Concourse F	11/27/2018	1100 - 1200	7	21	10	26	9	26	243	69	0	0	0	0	0	10	322	3	11
ATL	Concourse F	11/27/2018	1200 - 1300	9	32	24	51	15	51	310	168	56	19	0	0	0	17	570	2	18
ATL	Concourse F	11/27/2018	1300 - 1400	10	29	17	41	13	41	313	97	34	0	0	0	0	13	457	3	19
ATL	Concourse F	11/27/2018	1400 - 1500	14	38	14	41	14	41	365	250	45	0	0	0	0	19	679	3	23
ATL	Concourse F	11/27/2018	1500 - 1600	8	65	16	64	12	65	381	148	23	13	8	0	0	16	589	3	15
ATL	Concourse F	11/27/2018	1600 - 1700	11	32	11	33	11	33	332	110	11	0	0	0	0	14	467	3	15
ATL	Concourse F	11/27/2018	1700 - 1800	6	22	6	21	6	22	370	39	0	0	0	0	0	12	421	2	14
ATL	Concourse F	11/27/2018	1800 - 1900	12	36	12	36	12	36	379	179	33	0	0	0	0	20	611	3	13
ATL	Concourse F	11/27/2018	1900 - 2000	18	40	17	40	18	40	198	236	67	0	0	0	0	15	516	2	12
ATL	Concourse F	11/27/2018	2000 - 2100	16	36	17	34	16	36	50	37	23	0	0	0	0	4	114	1	11
ATL	Concourse E	11/28/2018	1300 - 1400	4	15	6	15	5	15	470	0	0	0	0	0	0	13	483	2	15
ATL	Concourse E	11/28/2018	1400 - 1500	2	14	6	16	3	16	338	3	0	0	0	0	0	11	352	2	15
ATL	Concourse E	11/28/2018	1500 - 1600	11	52	20	58	14	58	363	130	93	13	0	0	0	21	620	3	15
ATL	Concourse E	11/28/2018	1600 - 1700	11	31	16	38	13	38	312	244	24	0	0	0	0	20	600	5	15
ATL	Concourse E	11/28/2018	1700 - 1800	7	26	8	26	7	26	562	106	0	0	0	0	0	20	688	5	17
ATL	Concourse E	11/28/2018	1800 - 1900	8	72	24	80	13	80	1030	154	89	48	41	0	0	49	1411	12	19
ATL	Concourse E	11/28/2018	1900 - 2000	14	53	25	55	15	55	371	266	48	16	0	0	0	22	723	5	15
ATL	Concourse F	11/28/2018	0500 - 0600	7	78	36	78	23	78	423	118	121	205	8	0	0	27	902	5	13
ATL	Concourse F	11/28/2018	0800 - 0900	10	23	8	23	9	23	133	61	0	0	0	0	0	4	198	1	6
ATL	Concourse F	11/28/2018	0900 - 1000	31	84	47	109	40	109	89	87	81	79	79	21	0	13	449	2	8
ATL	Concourse F	11/28/2018	1000 - 1100	27	54	47	70	33	70	39	56	54	65	10	0	0	10	234	2	10
ATL	Concourse F	11/28/2018	1100 - 1200	13	49	26	49	19	49	166	125	98	8	0	0	0	14	411	3	9
ATL	Concourse F	11/28/2018	1200 - 1300	13	38	31	47	23	47	91	91	81	8	0	0	0	8	279	1	18
ATL	Concourse F	11/28/2018	1300 - 1400	19	56	30	56	25	56	190	214	232	67	0	0	0	22	725	5	19
ATL	Concourse F	11/28/2018	1400 - 1500	7	33	26	48	17	48	301	131	105	2	0	0	0	16	555	4	18
ATL	Concourse F	11/28/2018	1500 - 1600	25	64	22	64	24	64	181	69	51	70	12	0	0	12	395	2	8
ATL	Concourse F	11/28/2018	1700 - 1800	16	56	26	60	19	60	199	157	82	25	0	0	0	15	478	2	9
ATL	Concourse F	11/28/2018	1800 - 1900	20	34	23	33	20	34	39	69	21	0	0	0	0	3	132	1	8
ATL	Concourse F	11/28/2018	1900 - 2000	24	53	28	53	26	53	123	168	184	45	0	0	0	14	534	3	11
ATL	Concourse F	11/28/2018	2000 - 2100	28	50	31	52	29	52	39	126	129	37	0	0	0	9	340	2	13
